lon,lat,pop_density
28.65291655500835,47.078749998352976,51.27
28.66124988830835,47.078749998352976,431.59
28.66958322160835,47.078749998352976,810.12
28.677916554908354,47.078749998352976,1112.52
28.68624988820835,47.078749998352976,1582.46
28.69458322150835,47.078749998352976,1610.13
28.70291655480835,47.078749998352976,1549.32
28.711249888108348,47.078749998352976,1401.63
28.71958322140835,47.078749998352976,1249.07
28.72791655470835,47.078749998352976,1530.62
28.73624988800835,47.078749998352976,2038.1
28.744583221308346,47.078749998352976,1913.69
28.752916554608348,47.078749998352976,1569.16
28.76124988790835,47.078749998352976,1418.59
28.769583221208354,47.078749998352976,1690.39
28.77791655450835,47.078749998352976,917.08
28.78624988780835,47.078749998352976,283.64
28.79458322110835,47.078749998352976,259.01
28.80291655440835,47.078749998352976,433.93
28.81124988770835,47.078749998352976,701.95
